Array_Name,Year,Latitude,Longitude,Radius,Habitats,Ursus arctos,Alces alces,Canis latrans,Lynx canadensis,Canis familiaris,Ursus americanus,Canis lupus,Tamiasciurus hudsonicus,Sciurus carolinensis,Odocoileus virginianus,Procyon lotor,Sylvilagus floridanus,Didelphis virginiana,Dasypus novemcinctus,Tamias striatus,Felis catus,Urocyon cinereoargenteus,Mephitis mephitis,Lynx rufus,Sylvilagus audubonii,Ammospermophilus harrisii,Taxidea taxus,Otospermophilus variegatus,Lepus californicus,Pecari tajacu,Odocoileus hemionus,Neotamias dorsalis,Nasua narica,Mephitis macroura,Conepatus leuconotus,Bassariscus astutus,Bos taurus,Sciurus aberti,Cervus canadensis,Sciurus arizonensis,Puma concolor,Tamiasciurus douglasii,Neotamias senex,Pekania pennanti,Sciurus griseus,Sus scrofa,Sciurus niger,Sylvilagus bachmani,Neotoma mexicana,Spilogale gracilis,Mustela erminea,Vulpes vulpes,Marmota monax,Neovison vison,Lontra canadensis,Glaucomys volans,Castor canadensis,Neotoma floridana,Sylvilagus palustris,Urva javanica,Erethizon dorsatum,Martes americana,Mustela frenata,Neotamias minimus,Lepus americanus,Glaucomys sabrinus,Equus caballus,Sylvilagus aquaticus,Ondatra zibethicus,Lepus townsendii,Sylvilagus nuttallii,Antilocapra americana,Cynomys ludovicianus,Bison bison,Canis rufus,Vulpes macrotis,Dipodomys merriami,Oryx gazella,Ammospermophilus leucurus,Neotamias townsendii,Aplodontia rufa,Neotoma cinerea,Ovis aries,Neotamias umbrinus,Neotoma lepida,Otospermophilus beecheyi,Neotamias speciosus,Dipodomys deserti,Callospermophilus lateralis,Peromyscus leucopus,Peromyscus gossypinus,Sigmodon hispidus,Rattus rattus,Rattus norvegicus,Neotamias panamintinus,Mus musculus,Neotamias amoenus,Spilogale putorius,Neotoma fuscipes,Neotoma micropus,Equus asinus,Ovis canadensis,Sus scrofa scrofa,Dipodomys ingens,Neotamias merriami,Sylvilagus obscurus,Gulo gulo,Napaeozapus insignis,Dipodomys nitratoides,Blarina brevicauda,Zapus hudsonius,Peromyscus maniculatus,Capra aegagrus hircus,Ictidomys tridecemlineatus,Vulpes velox,Dipodomys ordii,Boselaphus tragocamelus,Neotoma albigula,Lariscus insignis,Lepus alleni,Xerospermophilus tereticaudus,Neotamias sonomae,Chaetodipus hispidus,Onychomys leucogaster,Urocitellus richardsonii,Lama glama,Microtus ochrogaster,Zalophus californianus,Thomomys bottae,Neotamias obscurus,Urocitellus armatus,Myodes gapperi,Neotamias ruficaudus,Brachylagus idahoensis,Cynomys leucurus
Angelina,2019,31.5007,-94.7791,5,Forest,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelina,2020,31.4999,-94.776,5,Forest,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelina,2021,31.5005,-94.7783,5,Forest,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelina,2022,31.5156,-94.7727,5,Forest,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelina,2023,31.5007,-94.779,5,Forest,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnthroRichmond,2019,37.6171,-77.4301,5,Anthropogenic,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apalachicola,2023,30.4748,-84.9706,5,Grassland,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AransasNWR,2023,28.2452,-96.8768,5,Wetland,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcadiaWMA,2023,41.5745,-71.7132,5,Forest,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ardmore,2019,34.0068,-97.2381,5,Grassland,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
